pixel_x,pixel_y,gray,paper_x_kx_a0,paper_E_meV
468,175,95,0.04226415094339622,8.0
469,175,68,0.04264150943396228,8.0
470,175,118,0.0430188679245283,8.0
467,176,78,0.041886792452830196,7.946666666666666
468,176,43,0.04226415094339622,7.946666666666666
469,176,42,0.04264150943396228,7.946666666666666
470,176,42,0.0430188679245283,7.946666666666666
471,176,95,0.04339622641509436,7.946666666666666
466,177,78,0.04150943396226417,7.893333333333333
467,177,37,0.041886792452830196,7.893333333333333
468,177,142,0.04226415094339622,7.893333333333333
469,177,147,0.04264150943396228,7.893333333333333
470,177,76,0.0430188679245283,7.893333333333333
471,177,20,0.04339622641509436,7.893333333333333
472,177,32,0.043773584905660384,7.893333333333333
473,177,114,0.04415094339622641,7.893333333333333
465,178,65,0.041132075471698115,7.84
466,178,43,0.04150943396226417,7.84
467,178,142,0.041886792452830196,7.84
471,178,133,0.04339622641509436,7.84
472,178,48,0.043773584905660384,7.84
473,178,9,0.04415094339622641,7.84
474,178,114,0.044528301886792465,7.84
464,179,65,0.04075471698113209,7.786666666666666
465,179,64,0.041132075471698115,7.786666666666666
466,179,142,0.04150943396226417,7.786666666666666
473,179,96,0.04415094339622641,7.786666666666666
474,179,36,0.044528301886792465,7.786666666666666
475,179,113,0.04490566037735849,7.786666666666666
463,180,65,0.040377358490566034,7.733333333333333
464,180,68,0.04075471698113209,7.733333333333333
465,180,142,0.041132075471698115,7.733333333333333
474,180,93,0.044528301886792465,7.733333333333333
475,180,58,0.04490566037735849,7.733333333333333
476,180,74,0.045283018867924546,7.733333333333333
477,180,137,0.04566037735849057,7.733333333333333
462,181,71,0.04000000000000001,7.68
463,181,56,0.040377358490566034,7.68
464,181,142,0.04075471698113209,7.68
475,181,112,0.04490566037735849,7.68
476,181,40,0.045283018867924546,7.68
477,181,34,0.04566037735849057,7.68
478,181,121,0.0460377358490566,7.68
460,182,160,0.03924528301886793,7.626666666666666
461,182,80,0.03962264150943398,7.626666666666666
462,182,38,0.04000000000000001,7.626666666666666
463,182,143,0.040377358490566034,7.626666666666666
476,182,133,0.045283018867924546,7.626666666666666
477,182,52,0.04566037735849057,7.626666666666666
478,182,39,0.0460377358490566,7.626666666666666
479,182,93,0.04641509433962265,7.626666666666666
459,183,131,0.0388679245283019,7.573333333333333
460,183,37,0.03924528301886793,7.573333333333333
461,183,38,0.03962264150943398,7.573333333333333
462,183,142,0.04000000000000001,7.573333333333333
478,183,118,0.0460377358490566,7.573333333333333
479,183,13,0.04641509433962265,7.573333333333333
480,183,94,0.04679245283018868,7.573333333333333
458,184,121,0.038490566037735846,7.52
459,184,38,0.0388679245283019,7.52
460,184,51,0.03924528301886793,7.52
461,184,143,0.03962264150943398,7.52
