path_A^-1,kx_A^-1,ky_A^-1,E_v_eV,E_c1_eV,E_v_local,E_c1_local
0.000000000000000000e+00,1.183274069148698038e+00,0.000000000000000000e+00,-2.316347359610095324e+01,6.261930598980930407e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.380783054710565991e-03,1.179893286093987470e+00,0.000000000000000000e+00,-2.303112879574442573e+01,6.227399862883225001e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.761566109421131981e-03,1.176512503039276902e+00,0.000000000000000000e+00,-2.289916266434456560e+01,6.193086861435604940e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.014234916413169797e-02,1.173131719984566335e+00,0.000000000000000000e+00,-2.276757520190138351e+01,6.158991594638071332e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.352313221884226396e-02,1.169750936929855767e+00,0.000000000000000000e+00,-2.263636640841486880e+01,6.125114062490623068e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.690391527355282822e-02,1.166370153875145199e+00,0.000000000000000000e+00,-2.250553628388502503e+01,6.091454264993262369e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.028469832826339594e-02,1.162989370820434631e+00,0.000000000000000000e+00,-2.237508482831185574e+01,6.058012202145985903e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.366548138297396020e-02,1.159608587765724064e+00,0.000000000000000000e+00,-2.224501204169535384e+01,6.024787873948795891e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.704626443768452793e-02,1.156227804711013496e+00,0.000000000000000000e+00,-2.211531792403551933e+01,5.991781280401691223e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.042704749239509218e-02,1.152847021656302928e+00,0.000000000000000000e+00,-2.198600247533236285e+01,5.958992421504673009e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.380783054710565644e-02,1.149466238601592361e+00,0.000000000000000000e+00,-2.185706569558587375e+01,5.926421297257740139e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.718861360181622416e-02,1.146085455546881793e+00,0.000000000000000000e+00,-2.172850758479606270e+01,5.894067907660892613e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.056939665652679189e-02,1.142704672492171225e+00,0.000000000000000000e+00,-2.160032814296291548e+01,5.861932252714132652e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.395017971123735961e-02,1.139323889437460657e+00,0.000000000000000000e+00,-2.147252737008644274e+01,5.830014332417456924e-01,0.000000000000000000e+00,0.000000000000000000e+00
