u,kx_A^-1,ky_A^-1,E_v_eV,E_c1_periodic_chart_eV
-1.300000000000000044e+00,1.153692217419980626e+00,6.660845122894021308e-01,-2.936772778305795839e+01,8.546885046899410643e-02
-1.298750000000000071e+00,1.152582897980153565e+00,6.654440464122007848e-01,-2.931122087101932649e+01,8.492441332707306723e-02
-1.297500000000000098e+00,1.151473578540326725e+00,6.648035805349994387e-01,-2.925476831868444094e+01,8.438224940912673888e-02
-1.296250000000000124e+00,1.150364259100499886e+00,6.641631146577980926e-01,-2.919837012605330528e+01,8.384235871515501037e-02
-1.295000000000000151e+00,1.149254939660673047e+00,6.635226487805967466e-01,-2.914202629312590176e+01,8.330474124515792334e-02
-1.293749999999999956e+00,1.148145620220845986e+00,6.628821829033952895e-01,-2.908573681990223037e+01,8.276939699913533899e-02
-1.292499999999999982e+00,1.147036300781019147e+00,6.622417170261939434e-01,-2.902950170638231242e+01,8.223632597708747938e-02
-1.291250000000000009e+00,1.145926981341192086e+00,6.616012511489925974e-01,-2.897332095256612305e+01,8.170552817901415021e-02
-1.290000000000000036e+00,1.144817661901365247e+00,6.609607852717913623e-01,-2.891719455845369424e+01,8.117700360491555966e-02
-1.288750000000000062e+00,1.143708342461538408e+00,6.603203193945900162e-01,-2.886112252404499756e+01,8.065075225479152732e-02
-1.287500000000000089e+00,1.142599023021711568e+00,6.596798535173886702e-01,-2.880510484934004012e+01,8.012677412864215032e-02
-1.286250000000000115e+00,1.141489703581884729e+00,6.590393876401873241e-01,-2.874914153433882902e+01,7.960506922646738703e-02
-1.285000000000000142e+00,1.140380384142057890e+00,6.583989217629859780e-01,-2.869323257904135360e+01,7.908563754826720971e-02
-1.283749999999999947e+00,1.139271064702230607e+00,6.577584558857845209e-01,-2.863737798344760321e+01,7.856847909404150732e-02
-1.282499999999999973e+00,1.138161745262403768e+00,6.571179900085831749e-01,-2.858157774755760627e+01,7.805359386379055742e-02
-1.281250000000000000e+00,1.137052425822576929e+00,6.564775241313818288e-01,-2.852583187137135923e+01,7.754098185751427674e-02
-1.280000000000000027e+00,1.135943106382750090e+00,6.558370582541804827e-01,-2.847014035488884787e+01,7.703064307521258203e-02
-1.278750000000000053e+00,1.134833786942923251e+00,6.551965923769791367e-01,-2.841450319811007930e+01,7.652257751688552878e-02
-1.277500000000000080e+00,1.133724467503096411e+00,6.545561264997779016e-01,-2.835892040103505352e+01,7.601678518253311700e-02
-1.276250000000000107e+00,1.132615148063269350e+00,6.539156606225765556e-01,-2.830339196366375987e+01,7.551326607215519404e-02
-1.275000000000000133e+00,1.131505828623442511e+00,6.532751947453752095e-01,-2.824791788599620901e+01,7.501202018575198194e-02
-1.273749999999999938e+00,1.130396509183615450e+00,6.526347288681737524e-01,-2.819249816803239383e+01,7.451304752332328640e-02
-1.272499999999999964e+00,1.129287189743788611e+00,6.519942629909724063e-01,-2.813713280977232500e+01,7.401634808486932948e-02
-1.271249999999999991e+00,1.128177870303961772e+00,6.513537971137710603e-01,-2.808182181121600607e+01,7.352192187038994464e-02
-1.270000000000000018e+00,1.127068550864134933e+00,6.507133312365697142e-01,-2.802656517236341926e+01,7.302976887988522903e-02
-1.268750000000000044e+00,1.125959231424307871e+00,6.500728653593683681e-01,-2.797136289321456815e+01,7.253988911335501610e-02
-1.267500000000000071e+00,1.124849911984481032e+00,6.494323994821670221e-01,-2.791621497376947048e+01,7.205228257079950016e-02
-1.266250000000000098e+00,1.123740592544654193e+00,6.487919336049656760e-01,-2.786112141402810849e+01,7.156694925221862569e-02
-1.265000000000000124e+00,1.122631273104827354e+00,6.481514677277644410e-01,-2.780608221399048929e+01,7.108388915761236493e-02
-1.263750000000000151e+00,1.121521953665000515e+00,6.475110018505630949e-01,-2.775109737365661289e+01,7.060310228698073176e-02
-1.262499999999999956e+00,1.120412634225173454e+00,6.468705359733616378e-01,-2.769616689302645796e+01,7.012458864032357353e-02
-1.261249999999999982e+00,1.119303314785346393e+00,6.462300700961602917e-01,-2.764129077210005647e+01,6.964834821764111228e-02
-1.260000000000000009e+00,1.118193995345519554e+00,6.455896042189589457e-01,-2.758646901087739778e+01,6.917438101893330638e-02
-1.258750000000000036e+00,1.117084675905692714e+00,6.449491383417575996e-01,-2.753170160935848898e+01,6.870268704420012806e-02
-1.257500000000000062e+00,1.115975356465865875e+00,6.443086724645562535e-01,-2.747698856754330876e+01,6.823326629344153571e-02
-1.256250000000000089e+00,1.114866037026039036e+00,6.436682065873549075e-01,-2.742232988543187489e+01,6.776611876665759870e-02
-1.255000000000000115e+00,1.113756717586211975e+00,6.430277407101535614e-01,-2.736772556302417669e+01,6.730124446384820602e-02
-1.253750000000000142e+00,1.112647398146385136e+00,6.423872748329522153e-01,-2.731317560032022840e+01,6.683864338501348257e-02
-1.252499999999999947e+00,1.111538078706558075e+00,6.417468089557508693e-01,-2.725867999732000158e+01,6.637831553015334507e-02
-1.251249999999999973e+00,1.110428759266731236e+00,6.411063430785495232e-01,-2.720423875402353175e+01,6.592026089926784904e-02
-1.250000000000000000e+00,1.109319439826904397e+00,6.404658772013481771e-01,-2.714985187043080117e+01,6.546447949235699448e-02
-1.248750000000000027e+00,1.108210120387077557e+00,6.398254113241468310e-01,-2.709551934654181338e+01,6.501097130942075364e-02
-1.247500000000000053e+00,1.107100800947250496e+00,6.391849454469454850e-01,-2.704124118235656127e+01,6.455973635045907100e-02
-1.246250000000000080e+00,1.105991481507423657e+00,6.385444795697441389e-01,-2.698701737787505195e+01,6.411077461547205758e-02
-1.245000000000000107e+00,1.104882162067596818e+00,6.379040136925427928e-01,-2.693284793309728542e+01,6.366408610445967176e-02
-1.243750000000000133e+00,1.103772842627769979e+00,6.372635478153414468e-01,-2.687873284802326168e+01,6.321967081742189964e-02
-1.242499999999999938e+00,1.102663523187942918e+00,6.366230819381399897e-01,-2.682467212265296297e+01,6.277752875435867186e-02
-1.241249999999999964e+00,1.101554203748116079e+00,6.359826160609386436e-01,-2.677066575698642126e+01,6.233765991527013411e-02
