q_A^-1,E_v_eV,E_c1_eV,E_c2_eV,E_c3_eV
-1.799999999999999933e-01,-5.067105247304346527e-01,4.244425830690908702e-02,6.769404890218180815e-02,6.769404890218179427e-02
-1.796999999999999986e-01,-5.049229805105687197e-01,4.236950645771468682e-02,6.753520122264372594e-02,6.753520122264368430e-02
-1.794000000000000039e-01,-5.031384180158400277e-01,4.229487929884421377e-02,6.737661851004396463e-02,6.737661851004393687e-02
-1.790999999999999814e-01,-5.013568372462484657e-01,4.222037683029766092e-02,6.721830076438255197e-02,6.721830076438252422e-02
-1.787999999999999867e-01,-4.995782382017946999e-01,4.214599905207504910e-02,6.706024798565947409e-02,6.706024798565947409e-02
-1.784999999999999920e-01,-4.978026208824780641e-01,4.207174596417635054e-02,6.690246017387475874e-02,6.690246017387475874e-02
-1.781999999999999973e-01,-4.960299852882990024e-01,4.199761756660159301e-02,6.674493732902840593e-02,6.674493732902839205e-02
-1.779000000000000026e-01,-4.942603314192574038e-01,4.192361385935076262e-02,6.658767945112036013e-02,6.658767945112036013e-02
-1.775999999999999801e-01,-4.924936592753529352e-01,4.184973484242384550e-02,6.643068654015067687e-02,6.643068654015067687e-02
-1.772999999999999854e-01,-4.907299688565860407e-01,4.177598051582086941e-02,6.627395859611935613e-02,6.627395859611932838e-02
-1.769999999999999907e-01,-4.889692601629563873e-01,4.170235087954180658e-02,6.611749561902637018e-02,6.611749561902634242e-02
-1.766999999999999960e-01,-4.872115331944643080e-01,4.162884593358668478e-02,6.596129760887171900e-02,6.596129760887170512e-02
-1.764000000000000012e-01,-4.854567879511094697e-01,4.155546567795549012e-02,6.580536456565540260e-02,6.580536456565540260e-02
-1.761000000000000065e-01,-4.837050244328920945e-01,4.148221011264821567e-02,6.564969648937747648e-02,6.564969648937744873e-02
-1.757999999999999841e-01,-4.819562426398119603e-01,4.140907923766486837e-02,6.549429338003784351e-02,6.549429338003782963e-02
-1.754999999999999893e-01,-4.802104425718694003e-01,4.133607305300544821e-02,6.533915523763658695e-02,6.533915523763657307e-02
-1.751999999999999946e-01,-4.784676242290643033e-01,4.126319155866995519e-02,6.518428206217366516e-02,6.518428206217365128e-02
-1.748999999999999999e-01,-4.767277876113964474e-01,4.119043475465839627e-02,6.502967385364911979e-02,6.502967385364907815e-02
-1.746000000000000052e-01,-4.749909327188660546e-01,4.111780264097076448e-02,6.487533061206286755e-02,6.487533061206286755e-02
-1.742999999999999827e-01,-4.732570595514727918e-01,4.104529521760704597e-02,6.472125233741497785e-02,6.472125233741496397e-02
-1.739999999999999880e-01,-4.715261681092173252e-01,4.097291248456726848e-02,6.456743902970545068e-02,6.456743902970545068e-02
-1.736999999999999933e-01,-4.697982583920989885e-01,4.090065444185141813e-02,6.441389068893425829e-02,6.441389068893424441e-02
-1.733999999999999986e-01,-4.680733304001182260e-01,4.082852108945948799e-02,6.426060731510142843e-02,6.426060731510140067e-02
-1.731000000000000039e-01,-4.663513841332747045e-01,4.075651242739148500e-02,6.410758890820691946e-02,6.410758890820690559e-02
-1.727999999999999814e-01,-4.646324195915685351e-01,4.068462845564741609e-02,6.395483546825077303e-02,6.395483546825074528e-02
-1.724999999999999867e-01,-4.629164367749998288e-01,4.061286917422726045e-02,6.380234699523294750e-02,6.380234699523291975e-02
-1.721999999999999920e-01,-4.612034356835685855e-01,4.054123458313104583e-02,6.365012348915348450e-02,6.365012348915345675e-02
-1.718999999999999972e-01,-4.594934163172746944e-01,4.046972468235875836e-02,6.349816495001238403e-02,6.349816495001235628e-02
-1.716000000000000025e-01,-4.577863786761182663e-01,4.039833947191039804e-02,6.334647137780959059e-02,6.334647137780959059e-02
-1.713000000000000078e-01,-4.560823227600990792e-01,4.032707895178596486e-02,6.319504277254518743e-02,6.319504277254515967e-02
-1.709999999999999853e-01,-4.543812485692172443e-01,4.025594312198544494e-02,6.304387913421907741e-02,6.304387913421906353e-02
-1.706999999999999906e-01,-4.526831561034729834e-01,4.018493198250886606e-02,6.289298046283135768e-02,6.289298046283134380e-02
-1.703999999999999959e-01,-4.509880453628660746e-01,4.011404553335621431e-02,6.274234675838195885e-02,6.274234675838194497e-02
-1.701000000000000012e-01,-4.492959163473965178e-01,4.004328377452748972e-02,6.259197802087092255e-02,6.259197802087089479e-02
-1.698000000000000065e-01,-4.476067690570644242e-01,3.997264670602269226e-02,6.244187425029821409e-02,6.244187425029820021e-02
-1.694999999999999840e-01,-4.459206034918694606e-01,3.990213432784180808e-02,6.229203544666384734e-02,6.229203544666381959e-02
-1.691999999999999893e-01,-4.442374196518120710e-01,3.983174663998486492e-02,6.214246160996784313e-02,6.214246160996782925e-02
-1.688999999999999946e-01,-4.425572175368921446e-01,3.976148364245184891e-02,6.199315274021017369e-02,6.199315274021017369e-02
-1.685999999999999999e-01,-4.408799971471095702e-01,3.969134533524276004e-02,6.184410883739086678e-02,6.184410883739085291e-02
-1.683000000000000052e-01,-4.392057584824643479e-01,3.962133171835759832e-02,6.169532990150989465e-02,6.169532990150988078e-02
-1.679999999999999827e-01,-4.375345015429564777e-01,3.955144279179635680e-02,6.154681593256727118e-02,6.154681593256725730e-02
